127.0.0.1 - - [26/Jan/2023:07:42:45 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [26/Jan/2023:07:42:46 +0530] "GET /Aikyam/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jan/2023:07:42:48 +0530] "GET /Aikyam/login.jsp HTTP/1.1" 200 1982
0:0:0:0:0:0:0:1 - - [26/Jan/2023:07:42:48 +0530] "GET /Aikyam/login/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2023:07:42:48 +0530] "GET /Aikyam/login/AikyamLogo.png HTTP/1.1" 200 92895
0:0:0:0:0:0:0:1 - - [26/Jan/2023:07:43:56 +0530] "POST /Aikyam/login HTTP/1.1" 200 1984
0:0:0:0:0:0:0:1 - - [26/Jan/2023:07:44:09 +0530] "POST /Aikyam/login HTTP/1.1" 200 1984
0:0:0:0:0:0:0:1 - - [26/Jan/2023:07:45:49 +0530] "POST /Aikyam/login HTTP/1.1" 200 1982
0:0:0:0:0:0:0:1 - - [26/Jan/2023:07:46:00 +0530] "POST /Aikyam/login HTTP/1.1" 200 1982
0:0:0:0:0:0:0:1 - - [26/Jan/2023:07:58:31 +0530] "POST /Aikyam/login HTTP/1.1" 200 1977
0:0:0:0:0:0:0:1 - - [26/Jan/2023:07:58:44 +0530] "POST /Aikyam/login HTTP/1.1" 200 1977
0:0:0:0:0:0:0:1 - - [26/Jan/2023:07:59:04 +0530] "POST /Aikyam/login HTTP/1.1" 200 1977
0:0:0:0:0:0:0:1 - - [26/Jan/2023:07:59:12 +0530] "GET /Aikyam/signup.jsp HTTP/1.1" 200 2211
0:0:0:0:0:0:0:1 - - [26/Jan/2023:07:59:12 +0530] "GET /Aikyam/alert/dist/sweetalert.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [26/Jan/2023:07:59:12 +0530] "GET /Aikyam/signup/AikyamLogo.png HTTP/1.1" 200 92895
0:0:0:0:0:0:0:1 - - [26/Jan/2023:07:59:12 +0530] "GET /Aikyam/signup/styles.css HTTP/1.1" 200 1814
0:0:0:0:0:0:0:1 - - [26/Jan/2023:08:02:51 +0530] "POST /Aikyam/RegistrationServlet HTTP/1.1" 200 2621
0:0:0:0:0:0:0:1 - - [26/Jan/2023:08:03:29 +0530] "POST /Aikyam/RegistrationServlet HTTP/1.1" 200 2621
0:0:0:0:0:0:0:1 - - [26/Jan/2023:08:07:21 +0530] "POST /Aikyam/RegistrationServlet HTTP/1.1" 200 3001
0:0:0:0:0:0:0:1 - - [26/Jan/2023:08:07:43 +0530] "POST /Aikyam/RegistrationServlet HTTP/1.1" 200 2989
0:0:0:0:0:0:0:1 - - [26/Jan/2023:08:07:49 +0530] "GET /Aikyam/login.jsp HTTP/1.1" 200 1975
0:0:0:0:0:0:0:1 - - [26/Jan/2023:08:08:03 +0530] "POST /Aikyam/login HTTP/1.1" 200 1977
0:0:0:0:0:0:0:1 - - [26/Jan/2023:08:08:13 +0530] "POST /Aikyam/login HTTP/1.1" 200 1779
0:0:0:0:0:0:0:1 - - [26/Jan/2023:08:08:13 +0530] "GET /Aikyam/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2023:08:08:16 +0530] "GET /Aikyam/login HTTP/1.1" 405 752
0:0:0:0:0:0:0:1 - - [26/Jan/2023:08:08:16 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [26/Jan/2023:08:08:29 +0530] "POST /Aikyam/login HTTP/1.1" 200 1977
0:0:0:0:0:0:0:1 - - [26/Jan/2023:08:08:31 +0530] "GET /Aikyam/login/favicon.ico HTTP/1.1" 200 15406
0:0:0:0:0:0:0:1 - - [26/Jan/2023:08:08:34 +0530] "POST /Aikyam/login HTTP/1.1" 200 1977
0:0:0:0:0:0:0:1 - - [26/Jan/2023:08:12:14 +0530] "GET /Aikyam/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jan/2023:08:12:14 +0530] "GET /Aikyam/login.jsp HTTP/1.1" 200 2008
0:0:0:0:0:0:0:1 - - [26/Jan/2023:08:12:17 +0530] "GET /Aikyam/login.jsp HTTP/1.1" 200 2008
0:0:0:0:0:0:0:1 - - [26/Jan/2023:08:12:18 +0530] "GET /Aikyam/login.jsp HTTP/1.1" 200 2008
0:0:0:0:0:0:0:1 - - [26/Jan/2023:08:12:26 +0530] "POST /Aikyam/login HTTP/1.1" 200 2010
0:0:0:0:0:0:0:1 - - [26/Jan/2023:08:13:36 +0530] "GET /Aikyam/signup.jsp HTTP/1.1" 200 3042
0:0:0:0:0:0:0:1 - - [26/Jan/2023:08:13:54 +0530] "POST /Aikyam/RegistrationServlet HTTP/1.1" 200 3045
0:0:0:0:0:0:0:1 - - [26/Jan/2023:08:15:12 +0530] "GET /Aikyam/login.jsp HTTP/1.1" 200 2014
0:0:0:0:0:0:0:1 - - [26/Jan/2023:08:15:21 +0530] "POST /Aikyam/login HTTP/1.1" 200 2016
0:0:0:0:0:0:0:1 - - [26/Jan/2023:08:15:32 +0530] "POST /Aikyam/login HTTP/1.1" 200 2016
0:0:0:0:0:0:0:1 - - [26/Jan/2023:08:15:41 +0530] "POST /Aikyam/login HTTP/1.1" 200 2016
0:0:0:0:0:0:0:1 - - [26/Jan/2023:08:15:44 +0530] "GET /Aikyam/signup.jsp HTTP/1.1" 200 3042
0:0:0:0:0:0:0:1 - - [26/Jan/2023:08:16:35 +0530] "GET /Aikyam/signup.jsp HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [26/Jan/2023:08:16:35 +0530] "GET /Aikyam/signup/favicon.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2023:08:16:35 +0530] "GET /Aikyam/signup.jsp HTTP/1.1" 200 3043
0:0:0:0:0:0:0:1 - - [26/Jan/2023:08:16:48 +0530] "POST /Aikyam/RegistrationServlet HTTP/1.1" 200 3046
0:0:0:0:0:0:0:1 - - [26/Jan/2023:08:18:00 +0530] "GET /Aikyam/login.jsp HTTP/1.1" 200 2014
