127.0.0.1 - - [01/Mar/2023:17:27:32 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [01/Mar/2023:17:27:34 +0530] "GET /Aikyam/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Mar/2023:17:27:34 +0530] "GET /Aikyam/login.jsp HTTP/1.1" 200 1588
0:0:0:0:0:0:0:1 - - [01/Mar/2023:17:27:34 +0530] "GET /Aikyam/login/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2023:17:27:34 +0530] "GET /Aikyam/login/AikyamLogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2023:17:27:34 +0530] "GET /Aikyam/alert/dist/sweetalert.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [01/Mar/2023:17:27:34 +0530] "GET /Aikyam/login/favicon.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2023:17:27:39 +0530] "GET /Aikyam/signup.jsp HTTP/1.1" 200 3044
0:0:0:0:0:0:0:1 - - [01/Mar/2023:17:27:39 +0530] "GET /Aikyam/signup/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2023:17:27:39 +0530] "GET /Aikyam/alert/dist/sweetalert.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [01/Mar/2023:17:27:39 +0530] "GET /Aikyam/signup/AikyamLogo.png HTTP/1.1" 200 92895
0:0:0:0:0:0:0:1 - - [01/Mar/2023:17:27:39 +0530] "GET /Aikyam/signup/favicon.ico HTTP/1.1" 200 15406
0:0:0:0:0:0:0:1 - - [01/Mar/2023:17:29:05 +0530] "POST /Aikyam/RegistrationServlet HTTP/1.1" 200 3047
0:0:0:0:0:0:0:1 - - [01/Mar/2023:17:29:05 +0530] "GET /Aikyam/alert/dist/sweetalert.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [01/Mar/2023:17:29:21 +0530] "GET /Aikyam/login.jsp HTTP/1.1" 200 1588
0:0:0:0:0:0:0:1 - - [01/Mar/2023:17:29:21 +0530] "GET /Aikyam/alert/dist/sweetalert.css HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [01/Mar/2023:17:29:45 +0530] "POST /Aikyam/login HTTP/1.1" 200 4150
0:0:0:0:0:0:0:1 - - [01/Mar/2023:17:29:45 +0530] "GET /Aikyam/homepage/homepage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2023:17:29:45 +0530] "GET /Aikyam/css/nav.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2023:17:29:45 +0530] "GET /Aikyam/homepage/colleges.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2023:17:29:45 +0530] "GET /Aikyam/aikyamlogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2023:17:29:45 +0530] "GET /Aikyam/homepage/prof.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2023:17:29:45 +0530] "GET /Aikyam/homepage/connect.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2023:17:29:45 +0530] "GET /Aikyam/homepage/internship.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2023:17:29:45 +0530] "GET /Aikyam/homepage/skills.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2023:17:29:45 +0530] "GET /Aikyam/homepage/community.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2023:17:29:45 +0530] "GET /Aikyam/homepage/proveskills.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2023:17:29:45 +0530] "GET /Aikyam/homepage/course.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2023:17:29:45 +0530] "GET /Aikyam/homepage/ontime%20.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2023:17:29:45 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [01/Mar/2023:17:30:03 +0530] "GET /Aikyam/avsaruserview.jsp HTTP/1.1" 200 3106
0:0:0:0:0:0:0:1 - - [01/Mar/2023:17:30:03 +0530] "GET /Aikyam/css/avsaradminview.css HTTP/1.1" 304 -
